,title,date,location,area,year,rooms,total_price,unit_price,story,total_stories,elevator,parking,store
205,64متر/3ساله/سالن پرده خور/لوکس,۱۳ ساعت پیش در تهران,سازمان برنامه,۶۴,۱۳۹۹,۱,۵۹۰۰۰۰۰۰۰۰,۹۲۱۸۷۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
206,۶۵متر سالن پرده خور فول امکانات سازمان برنامه,۱۳ ساعت پیش در تهران,سازمان برنامه,۶۵,۱۳۸۶,۱,۵۰۰۰۰۰۰۰۰۰,۷۶۹۲۳۰۰۰,۲,5,آسانسور,پارکینگ,انباری
207,آپارتمان۸۶متری۲خواب فول امکانات نوساز ویو ابدی,۱۳ ساعت پیش در تهران,سازمان برنامه,۸۶,۱۴۰۲,۲,۸۳۹۲۰۰۰۰۰۰,۹۷۵۸۱۰۰۰,۶,10,آسانسور,پارکینگ,انباری
208,۶۵متر دو خوابه دو حیاط خلوت در اختیار,۱۳ ساعت پیش در تهران,سازمان برنامه,۶۵,۱۳۹۱,۲,۵۹۰۰۰۰۰۰۰۰,۹۰۷۶۹۰۰۰,۱,5,آسانسور,پارکینگ,انباری
209,اپارتمان،۶۰متری،(شمالی های فردوس),۱۳ ساعت پیش در تهران,کوی فردوس,۶۰,۱۳۸۳,۲,۴۹۵۰۰۰۰۰۰۰,۸۲۵۰۰۰۰۰,۳,۳,آسانسور,پارکینگ,انباری
210,۸۰ متری فول سرمایه گذاری سند تک برگ سازمان برنامه,۱۳ ساعت پیش در تهران,سازمان برنامه,۸۰,۱۳۸۴,۲,۶۲۰۰۰۰۰۰۰۰,۷۷۵۰۰۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
211,۸۶ متر فول امکانات ویو ابدی پارک سرمایه گذاری,۱۳ ساعت پیش در تهران,سازمان برنامه,۸۶,۱۳۸۸,۲,۷۳۰۰۰۰۰۰۰۰,۸۴۸۸۳۰۰۰,۵,۵,آسانسور,پارکینگ,انباری
212,۱۱۰ متر نوساز/سازمان برنامه جنوبی,۱۳ ساعت پیش در تهران,سازمان برنامه,۱۱۰,۱۴۰۲,۲,۱۳۸۰۰۰۰۰۰۰۰,۱۲۵۴۵۴۰۰۰,۶,6,آسانسور,پارکینگ,انباری
213,60متر یــک خوابه کم واحد 4طبقه 2 واحدی,۱۳ ساعت پیش در تهران,سازمان برنامه,۶۰,۱۳۸۳,۱,۵۲۰۰۰۰۰۰۰۰,۸۶۶۶۶۰۰۰,۲,4,آسانسور ندارد,پارکینگ,انباری
214,۸۸متر /تهاتر با واحد ۵۰تا ۶۵متری در منطقه ۵,۱۳ ساعت پیش در تهران,کوی فردوس,۸۸,۱۳۹۵,۲,۸۱۰۰۰۰۰۰۰۰,۹۲۰۴۵۰۰۰,۲,5,آسانسور,پارکینگ,انباری
215,۷۵متر دو خواب قلب منطقه ۵ دو کله نور,۱۳ ساعت پیش در تهران,سازمان برنامه,۷۹,۱۳۸۶,۲,۶۳۵۰۰۰۰۰۰۰,۸۰۳۷۹۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
216,۹۲متر/نوساز/سازمان برنامه مرکزی/ویو ابدی,۱۳ ساعت پیش در تهران,سازمان برنامه,۹۲,۱۴۰۲,۲,۱۰۱۰۰۰۰۰۰۰۰,۱۰۹۷۸۲۰۰۰,۴,۴,آسانسور,پارکینگ,انباری
217,فردوس غرب / 52+16متر حیاط خلوت / 1خ قابلیت 2خ,۱۳ ساعت پیش در تهران,سازمان برنامه,۵۲,۱۳۸۵,۱,۴۰۲۰۰۰۰۰۰۰,۷۷۳۰۷۰۰۰,۱,5,آسانسور,پارکینگ,انباری
218,۱۳۰متر ۳خواب سازمان‌برنامه مرکزی,۱۳ ساعت پیش در تهران,سازمان برنامه,۱۳۰,۱۳۹۱,۳,۱۵۴۵۰۰۰۰۰۰۰,۱۱۸۸۴۶۰۰۰,۳,5,آسانسور,پارکینگ,انباری
219,56متر/6ساله/ بدون مشابه/سازمان برنامه مرکزی,۱۳ ساعت پیش در تهران,سازمان برنامه,۵۶,۱۳۹۷,۱,۵۰۰۰۰۰۰۰۰۰,۸۹۲۸۵۰۰۰,۴,5,آسانسور,پارکینگ,انباری
220,سازمان برنامه/ ۱۲۹متر نوساز/ سازه برند,۱۳ ساعت پیش در تهران,کوی فردوس,۱۲۹,۱۴۰۱,۲,۱۱۹۹۰۰۰۰۰۰۰,۹۲۹۴۵۰۰۰,۶,۶,آسانسور,پارکینگ,انباری
221,70متر فول خیابان منطقه اینانلو بر بلوار,۱۳ ساعت پیش در تهران,سازمان برنامه,۷۰,۱۳۸۵,۲,۷۳۰۰۰۰۰۰۰۰,۱۰۴۲۸۵۰۰۰,۴,5,آسانسور,پارکینگ,انباری ندارد
222,۶۲ متر، یک خواب، سالن پرده خور، فردوس غرب,۱۳ ساعت پیش در تهران,سازمان برنامه,۶۲,۱۳۸۲,۱,۵۶۰۰۰۰۰۰۰۰,۹۰۳۲۲۰۰۰,۱,4,آسانسور ندارد,پارکینگ,انباری
223,۱۲۹متر ۲خواب / کلید نخورده / ۲پارکینگ سندی,۱۳ ساعت پیش در تهران,سازمان برنامه,۱۲۹,۱۴۰۱,۲,۱۱۶۱۰۰۰۰۰۰۰,۹۰۰۰۰۰۰۰,۶,۶,آسانسور,پارکینگ,انباری
224,سازمان برنامه شمال .۱۱۵ متر .تراورتن .کم واحد,۱۳ ساعت پیش در تهران,سازمان برنامه,۱۱۵,۱۳۹۲,۲,۱۰۶۰۰۰۰۰۰۰۰,۹۲۱۷۳۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
225,سازمان برنامه .۹۴ متر .کم واحد .زیر,۱۳ ساعت پیش در تهران,سازمان برنامه,۹۴,۱۳۹۵,۲,۸۵۰۰۰۰۰۰۰۰,۹۰۴۲۵۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
226,۹۳متر.فردوس غرب .غرق نور,۱۳ ساعت پیش در تهران,سازمان برنامه,۹۳,۱۳۹۵,۲,۸۴۰۰۰۰۰۰۰۰,۹۰۳۲۲۰۰۰,۱,۱,آسانسور,پارکینگ,انباری
227,۹۳ متر .پرده خور غرق نور ‌.بدون مشابه,۱۳ ساعت پیش در تهران,سازمان برنامه,۹۳,۱۳۹۵,۲,۸۳۵۰۰۰۰۰۰۰,۸۹۷۸۴۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
228,65 متر دینامیت / فول امکانات / برند منطقه,۱۳ ساعت پیش در تهران,کوی مهران,۶۵,۱۳۹۰,۱,۵۹۵۰۰۰۰۰۰۰,۹۱۵۳۸۰۰۰,۴,5,آسانسور,پارکینگ,انباری
229,۱۳۰متر/۲خ/کلید نخورده /فرعی دنج سازمان,۱۴ ساعت پیش در تهران,سازمان برنامه,۱۳۰,۱۴۰۰,۲,۱۴۰۰۰۰۰۰۰۰۰,۱۰۷۶۹۲۰۰۰,۶,6,آسانسور,پارکینگ,انباری
230,۵۵ متر ۱ خواب کوی فردوس,۱۴ ساعت پیش در تهران,کوی فردوس,۵۵,۱۳۸۴,۱,۴۵۵۰۰۰۰۰۰۰,۸۲۷۲۷۰۰۰,۱,5,آسانسور ندارد,پارکینگ,انباری
231,آپارتمان ۴۰ متری فول امکانات سازمان برنامه,۱۴ ساعت پیش در تهران,کوی فردوس,۴۰,۱۳۸۸,۱,۴۴۵۰۰۰۰۰۰۰,۱۱۱۲۵۰۰۰۰,۴,۴,آسانسور,پارکینگ,انباری
232,آپارتمان ۵۲ متر,۱۴ ساعت پیش در تهران,سازمان برنامه,۵۲,۱۳۸۱,۱,۵۱۰۰۰۰۰۰۰۰,۹۸۰۷۶۰۰۰,۱,۱,آسانسور,پارکینگ,انباری
233,آپارتمان ۲۳۰متری/سه خواب/کلید نخورده/سازمان برنامه,۱۴ ساعت پیش در تهران,سازمان برنامه,۲۳۰,۱۴۰۲,۳,۳۵۵۰۰۰۰۰۰۰۰,۱۵۴۳۴۷۰۰۰,۱,۱,آسانسور,پارکینگ,انباری
234,٥٨ متر ٢ خواب دوبر نور/ فول/ سازمان برنامه,۱۴ ساعت پیش در تهران,سازمان برنامه,۵۸,۱۳۸۷,۲,۵۲۵۰۰۰۰۰۰۰,۹۰۵۱۷۰۰۰,۱,۱,آسانسور,پارکینگ,انباری
235,سازمان برنامه شمالی ۱۶۶متر نوساز مدرن,۱۴ ساعت پیش در تهران,سازمان برنامه,۱۶۶,۱۴۰۲,۳,۲۸۰۰۰۰۰۰۰۰۰,۱۶۸۶۷۴۰۰۰,۳,5,آسانسور,پارکینگ,انباری
